molecule_chembl_id,smiles,pref_name,mw,alogp,hbd,hba,tpsa,cns_mpo
CHEMBL1106,NC1=NCC2c3ccccc3Cc3ccccc3N12,EPINASTINE,249.32,2.47,1,3,41.62,3.5
CHEMBL1108,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,DROPERIDOL,379.44,3.68,1,4,58.1,3.5
CHEMBL94454,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,MIZOLASTINE,432.5,3.41,1,6,70.05,3.5
CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,SULFAPHENAZOLE,314.37,2.26,2,5,90.01,4.0
CHEMBL1110,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,ALOSETRON,294.36,2.41,1,3,53.92,4.5
CHEMBL94394,CCCCOc1ccc(CC(=O)NO)cc1,BUFEXAMAC,223.27,1.91,2,3,58.56,4.5
CHEMBL316561,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,PROGLUMIDE,334.42,2.3,2,3,86.71,4.0
CHEMBL1111,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,AMBRISENTAN,378.43,3.52,1,5,81.54,3.5
CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,ARIPIPRAZOLE,448.39,4.86,1,4,44.81,3.5
CHEMBL95889,C[N+](C)(C)CC(=O)O,BETAINE,118.16,-0.22,1,1,37.3,4.0
CHEMBL1118,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,DESVENLAFAXINE,263.38,2.73,2,3,43.7,4.5
CHEMBL319144,O=P(O)(O)C(O)(Cc1cnc2ccccn12)P(=O)(O)O,MINODRONIC ACID,322.15,-0.12,5,5,152.59,3.0
CHEMBL99946,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,LEVOMILNACIPRAN,246.35,1.77,1,2,46.33,4.5
CHEMBL317094,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,IMIDAPRIL,405.45,0.88,2,6,116.25,3.0
CHEMBL100116,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,PENTAZOCINE,285.43,3.88,1,2,23.47,3.5
CHEMBL1126,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],PENICILLIN G SODIUM,334.4,0.86,2,4,86.71,4.5
CHEMBL1128,CC[N+](C)(C)c1cccc(O)c1.[Cl-],EDROPHONIUM CHLORIDE,166.24,1.98,1,1,20.23,4.0
CHEMBL1129,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,TRIFLURIDINE,296.2,-0.8,3,6,104.55,4.0
CHEMBL1133,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,OXYBUTYNIN CHLORIDE,357.49,3.34,1,4,49.77,4.0
CHEMBL1138,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,EZETIMIBE,409.43,4.89,2,3,60.77,3.5
CHEMBL1139,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O,EPOPROSTENOL,352.47,3.41,3,4,86.99,3.5
CHEMBL1140,NC(=O)c1cccnc1,NIACINAMIDE,122.13,0.18,1,2,55.98,4.5
CHEMBL418995,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,AMINEPTINE,337.46,4.5,2,2,49.33,4.0
CHEMBL106258,NC1=NCC(c2ccccc2)O1,AMINOREX,162.19,1.07,1,3,47.61,4.5
CHEMBL110458,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,MIGALASTAT,163.17,-2.97,5,5,92.95,3.5
CHEMBL108545,COC(=O)c1ccccc1O,METHYL SALICYLATE,152.15,1.18,1,3,46.53,4.5
CHEMBL1148,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,TORSEMIDE,348.43,2.53,3,5,100.19,4.0
CHEMBL1149,C[N+](C)(C)C[C@H](O)CC(=O)[O-],LEVOCARNITINE,161.2,-1.81,1,3,60.36,4.5
CHEMBL1152,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,PREDNISOLONE ACETATE,402.49,2.13,2,6,100.9,3.5
CHEMBL1159,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C,PINACIDIL ANHYDROUS,245.33,2.35,2,3,73.1,4.5
CHEMBL1167,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O,SPECTINOMYCIN,332.35,-2.93,5,9,129.51,3.0
CHEMBL1168,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,RAMIPRIL,416.52,2.38,2,5,95.94,3.0
CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1,AMINOSALICYLIC ACID,153.14,0.67,3,3,83.55,4.5
CHEMBL117287,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,PRUCALOPRIDE,367.88,2.09,2,5,76.82,4.0
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,DULOXETINE,297.42,4.63,1,3,21.26,3.5
CHEMBL1177,NC1=NC(=O)C(c2ccccc2)O1,PEMOLINE,176.18,0.6,1,3,64.68,4.5
CHEMBL71595,OO,HYDROGEN PEROXIDE,34.01,0.02,2,2,40.46,3.5
CHEMBL1185,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,ZOLMITRIPTAN,287.36,1.92,2,3,57.36,4.5
CHEMBL1187,O=P(O)(O)O,PHOSPHORIC ACID,97.99,-0.93,3,1,77.76,3.5
CHEMBL338802,N=C(N)NS(=O)(=O)c1ccc(N)cc1,SULFAGUANIDINE,214.25,-0.56,4,4,122.06,3.0
CHEMBL1191,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,SULFAMETHIZOLE,270.34,1.23,2,6,97.97,4.0
CHEMBL1194,CCCNC(C)C(=O)Nc1ccccc1C,PRILOCAINE,220.32,2.32,2,2,41.13,4.5
