names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
PDPN,22.862513,3.3918445,1.0972960356793904e-115,8.865812848101848e-114,0.19077336017446736,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ELK3,22.814043,1.4272906,3.326586054436012e-115,2.6818585061324335e-113,0.33209193088407984,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MSI2,22.796406,0.9480389,4.977344546966485e-115,4.0038634673301165e-113,0.5957054185539339,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ERC2,22.645231,1.0885261,1.5545189218929385e-113,1.2342070945814197e-111,0.4687804059721523,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
L3MBTL4,22.6069,0.8206103,3.7068136594430353e-113,2.9366468993349468e-111,0.7140077168260359,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CD226,22.59077,2.4017265,5.340703320259028e-113,4.2219240221339245e-111,0.22237879550411005,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LINC01268,22.571218,2.8445046,8.312262728877695e-113,6.556834658182166e-111,0.2014762623720852,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PLCG2,22.535774,0.63736147,1.8517352198966662e-112,1.4575346405040404e-110,0.889582284851535,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ATF7IP2,22.33998,1.1310616,1.5111463608255297e-110,1.1843569154727026e-108,0.44076497232008055,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
METTL7A,22.328419,1.408551,1.957346086817197e-110,1.5307868402477825e-108,0.3257842643851703,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PRKCE,22.325464,0.7213155,2.09108868981897e-110,1.6318963142017937e-108,0.7569870827042443,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
AOAH,22.225145,0.81631607,1.9624267699236755e-109,1.5217538602961112e-107,0.7951685958731757,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
STAMBPL1,22.10261,1.2293129,2.9832090759086407e-108,2.2890657313906113e-106,0.38127830900855564,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LINC02245,21.967741,1.0661671,5.861216040025376e-107,4.4507545286508044e-105,0.46569367555779234,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ADAM10,21.958038,0.68564844,7.256584181258673e-107,5.498928315077613e-105,0.7359167924844825,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ZFP36L2,21.920052,0.9401254,1.6726740930271622e-106,1.2649079437786605e-104,0.60540177822513,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
UBL3,21.85379,0.9026153,7.154212687445105e-106,5.398996671611924e-104,0.5700385841301795,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
YWHAH,21.740017,1.1808745,8.586597377793766e-105,6.453348062107385e-103,0.3755410166079517,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
GPD2,21.691202,0.8531969,2.48408244351441e-104,1.8631127359645683e-102,0.625968797181681,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CD74,21.617651,0.89481354,1.2255610899031515e-103,9.173161851031748e-102,0.7193759436336186,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
UNC5B,21.50901,2.20357,1.2820874649632055e-102,9.576670062269038e-101,0.21919141083710786,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
APOC2,21.475382,2.2859788,2.64537640343525e-102,1.96795572646613e-100,0.21385673544707265,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
GPR34,21.473959,1.0900064,2.7276542408731947e-102,2.0250481312413753e-100,0.4186210367388022,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
AC068587.4,21.461346,0.88787043,3.5779348900301056e-102,2.6509310710524676e-100,0.5743331655762456,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PPARG,21.338667,1.036988,4.9692084399401434e-101,3.6521686367519916e-99,0.49632611977856067,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CAPZB,21.271946,0.5454345,2.065314102477784e-100,1.5118512292957874e-98,0.801107196779064,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
UVRAG,21.265875,0.60447454,2.3506428191435453e-100,1.717282990488481e-98,0.7871162556618017,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ITM2B,21.20136,0.6798879,9.27755323293361e-100,6.764297328259026e-98,0.7431303472571716,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SNX29,21.190548,0.6088949,1.1673028088457213e-99,8.493926462537226e-98,0.8732762959235028,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
RPS6KA3,21.183834,0.75833434,1.3461844857133515e-99,9.776130627300472e-98,0.6765978862606945,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PTGS1,21.17372,1.9879493,1.6685234119428938e-99,1.209299512881621e-97,0.2291561818486831,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SCARB1,21.131088,0.9579819,4.1193746186687e-99,2.9797081110255554e-97,0.48196611306827714,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PARVG,21.104057,0.8380909,7.299644649392569e-99,5.249003807709576e-97,0.5802717664821339,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CD81,21.094175,0.95305943,8.99604771495912e-99,6.456163576768995e-97,0.5018621036738802,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CPA6,21.0557,3.3182309,2.027624261996843e-98,1.4494741330731729e-96,0.17809092434155344,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CSF1R,21.006388,0.59537315,5.7333457187082674e-98,4.066786562993048e-96,0.7528267069283677,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PLD1,20.971184,1.0491014,1.202359536298851e-97,8.495668221635955e-96,0.44334843147122965,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
FCGR1A,20.898272,1.4226532,5.551830633061648e-97,3.9152707707261926e-95,0.2953195772521389,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PSMA1,20.892822,0.8603654,6.223019104657376e-97,4.380167735568551e-95,0.5815131689313874,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
EML1,20.710676,2.0437405,2.7753764297392713e-95,1.9460067567986026e-93,0.22207683274618353,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PLPP1,20.490437,1.4881997,2.620311068986622e-93,1.8337668343399492e-91,0.28485153497735277,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DOP1B,20.459927,0.9077995,4.901150514128134e-93,3.423416220755798e-91,0.49011910753229326,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CCND3,20.44273,0.7403318,6.972717745737064e-93,4.851871524937686e-91,0.7224626740479785,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
STEAP1B,20.403784,1.4933021,1.5476124732620968e-92,1.0748418241720304e-90,0.28901191075322935,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ARFIP1,20.362213,0.8396638,3.618693949735657e-92,2.499015419891977e-90,0.5440362355309512,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DENND3,20.2716,0.603406,2.2908300904379356e-91,1.5790333736368904e-89,0.7497735279315552,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
NUP210,20.24193,1.949509,4.1845965678423356e-91,2.8735538270093308e-89,0.21959402784767657,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
